"Step","train_loss","clear-oath-5 - train_loss__MIN","clear-oath-5 - train_loss__MAX"
"0","13.857409477233887","13.857409477233887","13.857409477233887"
"1","13.903057098388672","13.903057098388672","13.903057098388672"
"3","14.029685974121094","14.029685974121094","14.029685974121094"
"7","12.682215690612793","12.682215690612793","12.682215690612793"
"9","12.354959487915039","12.354959487915039","12.354959487915039"
"10","11.65346908569336","11.65346908569336","11.65346908569336"
"11","11.62601089477539","11.62601089477539","11.62601089477539"
"12","11.258439064025879","11.258439064025879","11.258439064025879"
"14","10.783708572387695","10.783708572387695","10.783708572387695"
"16","10.794271469116211","10.794271469116211","10.794271469116211"
"17","10.622654914855957","10.622654914855957","10.622654914855957"
"18","10.308627128601074","10.308627128601074","10.308627128601074"
"19","9.89181137084961","9.89181137084961","9.89181137084961"
"20","10.02627182006836","10.02627182006836","10.02627182006836"
"21","9.267184257507324","9.267184257507324","9.267184257507324"
"22","9.659416198730469","9.659416198730469","9.659416198730469"
"24","9.38207721710205","9.38207721710205","9.38207721710205"
"27","8.644720077514648","8.644720077514648","8.644720077514648"
"32","6.759853363037109","6.759853363037109","6.759853363037109"
"33","6.473772048950195","6.473772048950195","6.473772048950195"
"35","5.614305019378662","5.614305019378662","5.614305019378662"
"36","5.25577449798584","5.25577449798584","5.25577449798584"
"39","4.529575347900391","4.529575347900391","4.529575347900391"
"42","3.9717323780059814","3.9717323780059814","3.9717323780059814"
"43","3.798325300216675","3.798325300216675","3.798325300216675"
"44","3.654974937438965","3.654974937438965","3.654974937438965"
"48","3.088871479034424","3.088871479034424","3.088871479034424"
"50","2.698892593383789","2.698892593383789","2.698892593383789"
"51","2.5934805870056152","2.5934805870056152","2.5934805870056152"
"54","2.1403350830078125","2.1403350830078125","2.1403350830078125"
"55","1.9956040382385254","1.9956040382385254","1.9956040382385254"
"57","1.6887511014938354","1.6887511014938354","1.6887511014938354"
"58","1.5435588359832764","1.5435588359832764","1.5435588359832764"
"59","1.4337899684906006","1.4337899684906006","1.4337899684906006"
"60","1.2931731939315796","1.2931731939315796","1.2931731939315796"
"61","1.2919366359710693","1.2919366359710693","1.2919366359710693"
"62","1.1268562078475952","1.1268562078475952","1.1268562078475952"
"65","0.8194083571434021","0.8194083571434021","0.8194083571434021"
"66","0.8474777936935425","0.8474777936935425","0.8474777936935425"
"68","0.86998450756073","0.86998450756073","0.86998450756073"
"69","0.6260261535644531","0.6260261535644531","0.6260261535644531"
"70","0.6701872944831848","0.6701872944831848","0.6701872944831848"
"72","0.5182266235351562","0.5182266235351562","0.5182266235351562"
"73","0.5611320734024048","0.5611320734024048","0.5611320734024048"
"76","0.510606586933136","0.510606586933136","0.510606586933136"
"78","0.5816768407821655","0.5816768407821655","0.5816768407821655"
"79","0.521608293056488","0.521608293056488","0.521608293056488"
"80","0.46991071105003357","0.46991071105003357","0.46991071105003357"
"81","0.38735488057136536","0.38735488057136536","0.38735488057136536"
"83","0.47402530908584595","0.47402530908584595","0.47402530908584595"
"84","0.6067211627960205","0.6067211627960205","0.6067211627960205"
"85","0.4777703583240509","0.4777703583240509","0.4777703583240509"
"87","0.6706085205078125","0.6706085205078125","0.6706085205078125"
"88","0.41478651762008667","0.41478651762008667","0.41478651762008667"
"89","0.44708260893821716","0.44708260893821716","0.44708260893821716"
"90","0.3798746168613434","0.3798746168613434","0.3798746168613434"
"92","0.37249746918678284","0.37249746918678284","0.37249746918678284"
"96","0.5072623491287231","0.5072623491287231","0.5072623491287231"
"97","0.4730892479419708","0.4730892479419708","0.4730892479419708"
"98","0.3389071524143219","0.3389071524143219","0.3389071524143219"
"99","0.4483734965324402","0.4483734965324402","0.4483734965324402"
"100","0.44767406582832336","0.44767406582832336","0.44767406582832336"
"102","0.4081595540046692","0.4081595540046692","0.4081595540046692"
"103","0.4723423421382904","0.4723423421382904","0.4723423421382904"
"104","0.31796902418136597","0.31796902418136597","0.31796902418136597"
"105","0.3817560076713562","0.3817560076713562","0.3817560076713562"
"106","0.33620956540107727","0.33620956540107727","0.33620956540107727"
"108","0.37007060647010803","0.37007060647010803","0.37007060647010803"
"109","0.4834180176258087","0.4834180176258087","0.4834180176258087"
"110","0.3891761302947998","0.3891761302947998","0.3891761302947998"
"111","0.4528687596321106","0.4528687596321106","0.4528687596321106"
"112","0.3562501072883606","0.3562501072883606","0.3562501072883606"
"113","0.39263665676116943","0.39263665676116943","0.39263665676116943"
"114","0.3157453238964081","0.3157453238964081","0.3157453238964081"
"115","0.28628814220428467","0.28628814220428467","0.28628814220428467"
"117","0.41545596718788147","0.41545596718788147","0.41545596718788147"
"118","0.3041189908981323","0.3041189908981323","0.3041189908981323"
"119","0.4391521215438843","0.4391521215438843","0.4391521215438843"
"122","0.23421210050582886","0.23421210050582886","0.23421210050582886"
"124","0.42801377177238464","0.42801377177238464","0.42801377177238464"
"126","0.3483894467353821","0.3483894467353821","0.3483894467353821"
"128","0.30936381220817566","0.30936381220817566","0.30936381220817566"
"130","0.31161603331565857","0.31161603331565857","0.31161603331565857"
"131","0.33302003145217896","0.33302003145217896","0.33302003145217896"
"132","0.2971557676792145","0.2971557676792145","0.2971557676792145"
"133","0.32768264412879944","0.32768264412879944","0.32768264412879944"
"135","0.3563191294670105","0.3563191294670105","0.3563191294670105"
"138","0.3613036870956421","0.3613036870956421","0.3613036870956421"
"140","0.2842664122581482","0.2842664122581482","0.2842664122581482"
"141","0.2895646393299103","0.2895646393299103","0.2895646393299103"
"142","0.4232250154018402","0.4232250154018402","0.4232250154018402"
"144","0.3203696310520172","0.3203696310520172","0.3203696310520172"
"146","0.3111048638820648","0.3111048638820648","0.3111048638820648"
"149","0.2952533960342407","0.2952533960342407","0.2952533960342407"
"153","0.3716603219509125","0.3716603219509125","0.3716603219509125"
"155","0.27125734090805054","0.27125734090805054","0.27125734090805054"
"156","0.3194001019001007","0.3194001019001007","0.3194001019001007"
"157","0.33879485726356506","0.33879485726356506","0.33879485726356506"
"162","0.34919679164886475","0.34919679164886475","0.34919679164886475"
"163","0.36890697479248047","0.36890697479248047","0.36890697479248047"
"164","0.29842033982276917","0.29842033982276917","0.29842033982276917"
"165","0.31199753284454346","0.31199753284454346","0.31199753284454346"
"170","0.2624272406101227","0.2624272406101227","0.2624272406101227"
"172","0.264923632144928","0.264923632144928","0.264923632144928"
"173","0.3570934236049652","0.3570934236049652","0.3570934236049652"
"180","0.3035707175731659","0.3035707175731659","0.3035707175731659"
"181","0.19442573189735413","0.19442573189735413","0.19442573189735413"
"182","0.3119128942489624","0.3119128942489624","0.3119128942489624"
"183","0.3015671372413635","0.3015671372413635","0.3015671372413635"
"184","0.2594178318977356","0.2594178318977356","0.2594178318977356"
"187","0.22248166799545288","0.22248166799545288","0.22248166799545288"
"189","0.3307238817214966","0.3307238817214966","0.3307238817214966"
"195","0.20258554816246033","0.20258554816246033","0.20258554816246033"
"196","0.31824806332588196","0.31824806332588196","0.31824806332588196"
"197","0.23310688138008118","0.23310688138008118","0.23310688138008118"
"198","0.3423457741737366","0.3423457741737366","0.3423457741737366"
"199","0.33584707975387573","0.33584707975387573","0.33584707975387573"
"203","0.3124617338180542","0.3124617338180542","0.3124617338180542"
"205","0.3197394609451294","0.3197394609451294","0.3197394609451294"
"210","0.1942981332540512","0.1942981332540512","0.1942981332540512"
"214","0.2684605121612549","0.2684605121612549","0.2684605121612549"
"216","0.39160287380218506","0.39160287380218506","0.39160287380218506"
"217","0.3304831385612488","0.3304831385612488","0.3304831385612488"
"218","0.2308318018913269","0.2308318018913269","0.2308318018913269"
"220","0.23961715400218964","0.23961715400218964","0.23961715400218964"
"223","0.27203264832496643","0.27203264832496643","0.27203264832496643"
"225","0.34839218854904175","0.34839218854904175","0.34839218854904175"
"227","0.28762638568878174","0.28762638568878174","0.28762638568878174"
"228","0.23993602395057678","0.23993602395057678","0.23993602395057678"
"232","0.22633349895477295","0.22633349895477295","0.22633349895477295"
"233","0.23441526293754578","0.23441526293754578","0.23441526293754578"
"235","0.3044452965259552","0.3044452965259552","0.3044452965259552"
"239","0.32181647419929504","0.32181647419929504","0.32181647419929504"
"240","0.24285677075386047","0.24285677075386047","0.24285677075386047"
"241","0.2357514500617981","0.2357514500617981","0.2357514500617981"
"242","0.3031511902809143","0.3031511902809143","0.3031511902809143"
"243","0.2634851932525635","0.2634851932525635","0.2634851932525635"
"245","0.33936774730682373","0.33936774730682373","0.33936774730682373"
"246","0.22875112295150757","0.22875112295150757","0.22875112295150757"
"249","0.25785648822784424","0.25785648822784424","0.25785648822784424"
"251","0.23319141566753387","0.23319141566753387","0.23319141566753387"
"254","0.28125372529029846","0.28125372529029846","0.28125372529029846"
"256","0.3134382963180542","0.3134382963180542","0.3134382963180542"
"260","0.27985620498657227","0.27985620498657227","0.27985620498657227"
"262","0.2817952334880829","0.2817952334880829","0.2817952334880829"
"263","0.3089388906955719","0.3089388906955719","0.3089388906955719"
"265","0.32179248332977295","0.32179248332977295","0.32179248332977295"
"266","0.2653617262840271","0.2653617262840271","0.2653617262840271"
"267","0.4164689779281616","0.4164689779281616","0.4164689779281616"
"268","0.3339647054672241","0.3339647054672241","0.3339647054672241"
"269","0.3700915575027466","0.3700915575027466","0.3700915575027466"
"272","0.2790789306163788","0.2790789306163788","0.2790789306163788"
"274","0.3710859715938568","0.3710859715938568","0.3710859715938568"
"275","0.3737899363040924","0.3737899363040924","0.3737899363040924"
"276","0.3536040484905243","0.3536040484905243","0.3536040484905243"
"277","0.38320255279541016","0.38320255279541016","0.38320255279541016"
"278","0.3067437410354614","0.3067437410354614","0.3067437410354614"
"282","0.2816842198371887","0.2816842198371887","0.2816842198371887"
"285","0.27660036087036133","0.27660036087036133","0.27660036087036133"
"286","0.43466880917549133","0.43466880917549133","0.43466880917549133"
"290","0.277660071849823","0.277660071849823","0.277660071849823"
"291","0.3553800582885742","0.3553800582885742","0.3553800582885742"
"292","0.294536828994751","0.294536828994751","0.294536828994751"
"293","0.3003164529800415","0.3003164529800415","0.3003164529800415"
"294","0.1751355677843094","0.1751355677843094","0.1751355677843094"
"295","0.3211766183376312","0.3211766183376312","0.3211766183376312"
"296","0.3038365840911865","0.3038365840911865","0.3038365840911865"
"297","0.3104119896888733","0.3104119896888733","0.3104119896888733"
"299","0.22500208020210266","0.22500208020210266","0.22500208020210266"
"300","0.22727081179618835","0.22727081179618835","0.22727081179618835"
"301","0.3046379089355469","0.3046379089355469","0.3046379089355469"
"302","0.3644217550754547","0.3644217550754547","0.3644217550754547"
"303","0.21583114564418793","0.21583114564418793","0.21583114564418793"
"304","0.2697071135044098","0.2697071135044098","0.2697071135044098"
"305","0.2394837737083435","0.2394837737083435","0.2394837737083435"
"306","0.30260154604911804","0.30260154604911804","0.30260154604911804"
"307","0.21904224157333374","0.21904224157333374","0.21904224157333374"
"309","0.2594496011734009","0.2594496011734009","0.2594496011734009"
"310","0.26913982629776","0.26913982629776","0.26913982629776"
"311","0.2832733988761902","0.2832733988761902","0.2832733988761902"
"315","0.26249438524246216","0.26249438524246216","0.26249438524246216"
"316","0.2627502977848053","0.2627502977848053","0.2627502977848053"
"317","0.2106950879096985","0.2106950879096985","0.2106950879096985"
"318","0.23161165416240692","0.23161165416240692","0.23161165416240692"
"319","0.2406105399131775","0.2406105399131775","0.2406105399131775"
"322","0.22906602919101715","0.22906602919101715","0.22906602919101715"
